model,fold,AUC,F1,Recall,Precision,Accuracy
SVM,4,0.7455621301775147,0.8108108108108109,0.8653846153846154,0.7627118644067796,0.7307692307692307
SVM,5,0.6993464052287581,0.7678571428571429,0.8431372549019608,0.7049180327868853,0.6666666666666666
GaussianNB,1,0.6051851851851852,0.6597938144329897,0.5925925925925926,0.7441860465116279,0.5822784810126582
GaussianNB,2,0.6517857142857143,0.7964601769911505,0.8035714285714286,0.7894736842105263,0.7051282051282052
GaussianNB,3,0.7690566037735849,0.864406779661017,0.9622641509433962,0.7846153846153846,0.7948717948717948
GaussianNB,4,0.6516272189349113,0.7010309278350515,0.6538461538461539,0.7555555555555555,0.6282051282051282
GaussianNB,5,0.6143790849673203,0.7476635514018691,0.7843137254901961,0.7142857142857143,0.6538461538461539
MLP,1,0.791111111111111,0.8037383177570093,0.7962962962962963,0.8113207547169812,0.7341772151898734
MLP,2,0.6517857142857143,0.7787610619469026,0.7857142857142857,0.7719298245614035,0.6794871794871795
MLP,3,0.7864150943396226,0.8148148148148148,0.8301886792452831,0.8,0.7435897435897436
MLP,4,0.7699704142011834,0.8468468468468469,0.9038461538461539,0.7966101694915254,0.782051282051282
MLP,5,0.7029774872912128,0.7706422018348624,0.8235294117647058,0.7241379310344828,0.6794871794871795
KNN,1,0.7066666666666667,0.8292682926829268,0.9444444444444444,0.7391304347826086,0.7341772151898734
KNN,2,0.6599025974025974,0.8527131782945736,0.9821428571428571,0.7534246575342466,0.7564102564102564
KNN,3,0.7788679245283019,0.8524590163934426,0.9811320754716981,0.7536231884057971,0.7692307692307693
KNN,4,0.7511094674556213,0.8429752066115702,0.9807692307692307,0.7391304347826086,0.7564102564102564
KNN,5,0.6615831517792302,0.7804878048780488,0.9411764705882353,0.6666666666666666,0.6538461538461539
